book_name,tag,star
1.2.3.木头人,幾米,3.2114093959731544
1.2.3.木頭人,幾米,3.059090909090909
100 Things Every Designer Needs to Know About People,用户体验,3.5
1000%的男人,股票,3.375
1000极致旅行体验,旅行,3.57
1001个广告法则,广告,2.1
100个基本,日本文学,3.408880308880309
100倍超级强势股,股票,3.85
100名画《旧约》,美术,3.05
100名画：《新约》,美术,3.65
100名画：古希腊罗马历史,美术,3.5
100名画：古希腊罗马神话,绘画,3.183333333333333
101 Things I Learned in Architecture School,建筑,3.875
1024·人与机器共同进化,科技,3.45
108种懒人植物，放着就可以活！,生活,3.05
10人以下小团队管理手册,管理,3.6714285714285713
10堂量子创意课,广告,3.425
10年新概念,郭敬明,3.05
11元的铁道旅行,旅行,3.145
11处特工皇妃,穿越,3.6663544106167056
12个工作的基本,职场,3.8125
13 67,推理小说,4.630357142857143
1453,历史,4.335055350553506
1453：君士坦丁堡的陷落,历史,4.195454545454545
150cm  Life3,高木直子,3.3
150cm Life,生活,3.316355140186916
150cm Life 2,生活,3.0137254901960784
150cm Life 2 & 3,高木直子,3.009375
150cm Life 3,高木直子,3.611764705882353
150cmライフ.2,高木直子,2.75
150cmライフ.3,高木直子,3.375
15至18世纪的物质文明、经济和资本主义（全三卷）,历史,4.1
160 170 180,郭敬明,3.184049079754601
1661，决战热兰遮,军事,3.933333333333333
16型人格的自我修炼,心理学,2.7055555555555557
17青春遁走 (Vol. 1),日本漫画,3.5961538461538463
180°以外,旅行,3.54
1844年经济学哲学手稿,西方哲学,3.75
18岁给我一个姑娘,青春,3.0606796116504853
19,落落,2.6666666666666665
1901,近代史,3.9
1901年,近代史,3.846875
1911,近代史,3.9125
1912-1928:文武北洋,近代史,3.2416666666666667
1912—1928：文武北洋•枭雄篇,近代史,3.3648148148148147
1912—1928：文武北洋•风流篇,近代史,3.25
1912年：颠沛的共和,近代史,4.05
1929年大崩盘,金融,3.2375
1938,二战,4.35
1943,近代史,3.8
1944：松山战役笔记,军事,3.8
1944：松山战役笔记（增订本）,军事,4.7368421052631575
1944：腾冲之围,军事,3.775
1945年以来的意大利电影,电影,2.825
1948：天地玄黄,近代史,4.214285714285714
1949年：中国知识分子的私人记录,中国历史,3.058333333333333
1957年的夏季,中国历史,3.7666666666666666
1966,回忆录,3.825
1973年的弹子球,日本文学,3.4588431590656286
1973年的彈珠玩具,村上春树,3.367088607594937
1980年代的爱情,爱情,3.2933467741935485
1984,思想,4.4843228364696746
1988,韩寒,3.4862385321100917
1988：我想和这个世界谈谈,思想,3.33830777499514
1995-2005夏至未至,爱情,3.1334174954583243
1998-2008几米创作10年精选,幾米,2.575
1P理论,营销,1.6
1Q84,魔幻,3.3423157894736844
1Q84 BOOK 1,爱情,3.48207036036435
1Q84 BOOK 2,爱情,3.5109761533318475
1Q84 BOOK 3,爱情,3.0486697237544584
1Q84 Book 2,村上春树,3.625
1Q84之後～特集: 村上春樹Long Interview長訪談,村上春树,3.6333333333333333
1Q84（全三册）,村上春树,3.5013192612137205
1支笔画出幸福绘本,绘画,3.1
2.0时代的赢利模式,营销,2.7
2.5次世界大战,科幻小说,3.325
2001太空漫游,科幻小说,4.1714127730163115
2001：太空漫游,科幻,4.356451612903226
2005夏至未至,郭敬明,3.5
2010太空漫游,科幻小说,3.9840546697038723
2011 sketch collection,美术,3.9
2012·末夜,沧月,2.2555555555555555
2018,科幻小说,3.89625
2061太空漫游,科幻,3.3038461538461537
20世紀少年18,日本漫画,3.6625
20世纪世界时装绘画图典,设计,4.4
20世纪中国艺术与艺术家,艺术史,3.74
20世纪中国艺术史,艺术史,3.9
20世纪建筑学的演变,建筑,2.925
20世纪思想史,思想,3.533333333333333
20世纪最伟大的心理学实验,思想,3.4808823529411765
20世纪最后的草根艺术,音乐,2.95
20世纪的两个知识分子:胡适与鲁迅,鲁迅,3.325
20世纪的欧洲,企业史,3.45
20世纪的设计,艺术史,2.7
20个月赚130亿,互联网,3.56
20几岁就要做女王,女性,2.5166666666666666
20几岁开始学会理财,理财,2.45
